Materiais	Sp	speciesEpitet	Mae	Pai	N353	N356	N369	total
2	(GB)	globulus	0	0				
58	(GB)	globulus	0	0				
88	(GB)	globulus	0	0				
91	(GB)	globulus	0	0				
102	(GB)	globulus	0	0				
112	(GB)	globulus	0	0				
115	(GB)	globulus	0	0				
118	(GB)	globulus	0	0				
121	(GB)	globulus	0	0				
130	(GB)	globulus	0	0				
132	(GB)	globulus	0	0				
137	(GB)	globulus	0	0				
140	(GB)	globulus	0	0				
146	(GB)	globulus	0	0				
277	(GB)	globulus	0	0				
295	(GB)	globulus	0	0				
313	(GB)	globulus	0	0				
880	(NI)	nitens	0	0				
881	(NI)	nitens	0	0				
1001	(GB)	globulus	0	0		x		1
1027	(GB)	globulus	0	0				
1032	(GB)	globulus	0	0				
1071	(GB)	globulus	0	0				
1074	(GB)	globulus	0	0		x		1
1075	(GB)	globulus	0	0				
1076	(GB)	globulus	0	0			x	1
1079	(GB)	globulus	0	0				
1088	(GB)	globulus	0	0	x	x		2
1089	(GB)	globulus	0	0				
1093	(GB)	globulus	0	0				
1113	(GB)	globulus	0	0	x	x	x	3
1147	(GB)	globulus	0	0				
1160	(GB)	globulus	0	0				
1162	(GB)	globulus	0	0				
1165	(GB)	globulus	0	0				
1173	(GB)	globulus	0	0				
1175	(GB)	globulus	0	0				
1180	(GB)	globulus	0	0				
1199	(GB)	globulus	0	0		x		1
1204	(GB)	globulus	0	0				
1206	(GB)	globulus	0	0	x	x		2
1213	(GB)	globulus	0	0				
1214	(GB)	globulus	0	0			x	1
1219	(GB)	globulus	0	0				
1233	(GB)	globulus	0	0			x	1
1246	(GB)	globulus	0	0				
1252	(GB)	globulus	0	0				
1260	(GB)	globulus	0	0				
1272	(GB)	globulus	0	0				
1273	(GB)	globulus	0	0				
1280	(GB)	globulus	0	0				
1281	(GB)	globulus	0	0				
1282	(GB)	globulus	0	0				
1283	(GB)	globulus	0	0				
1284	(GB)	globulus	0	0				
1286	(GB)	globulus	0	0				
1288	(GB)	globulus	0	0				
1289	(GB)	globulus	0	0				
1292	(GB)	globulus	0	0				
1293	(GB)	globulus	0	0				
1294	(GB)	globulus	0	0				
1296	(GB)	globulus	0	0				
1299	(GB)	globulus	0	0				
1302	(GB)	globulus	0	0				
1308	(GB)	globulus	0	0				
1309	(GB)	globulus	0	0				
1313	(GB)	globulus	0	0				
1333	(GB)	globulus	0	0				
1343	(GB)	globulus	0	0				
1345	(GB)	globulus	0	0				
1351	(GB)	globulus	0	0				
1353	(GB)	globulus	0	0				
1364	(GB)	globulus	0	0				
1366	(GB)	globulus	0	0				
1369	(GB)	globulus	0	0				
1372	(GB)	globulus	0	0				
1415	(GB)	globulus	0	0				
1433	(GB)	globulus	0	0				
1447	(GB)	globulus	0	0				
1462	(GB)	globulus	0	0				
1463	(GB)	globulus	0	0				
1466	(GB)	globulus	0	0				
1513	(GB)	globulus	0	0		x	x	2
1529	(GB)	globulus	0	0				
1552	(GB)	globulus	0	0			x	1
1564	(GB)	globulus	0	0				
1605	(GB)	globulus	0	0				
1700	(GB)	globulus	0	0		x		1
3002	(BT)	botryoides	0	0				
3003	(CM)	camaldulensis	0	0				
3006	(GD)	#N/A	0	0				
3008	(MD)	maideni	0	0				
3012	(RD)	rudis	0	0				
3018	(UR)	urophylla	0	0				
5041	(MD)	maideni	3008	0				
5066	(GB)	globulus	0	0				
6007	(GD)	#N/A	0	0				
6008	(GD)	#N/A	0	0				
6014	(RD)	rudis	0	0				
6015	(TT)	tereticornis	0	0				
6020	(BT)	botryoides	0	0				
6023	(SA)	saligna	0	0				
6027	(AG)	algeriensis	0	0				
6028	(VM)	viminalis	0	0				
6029	(SA)	saligna	0	0				
6030	(TB)	trabutii	0	0				
6031	(VM)	viminalis	0	0				
6032	(AG)	algeriensis	0	0				
6033	(TB)	trabutii	0	0				
6035	(CM)	camaldulensis	0	0				
6036	(GD)	#N/A	0	0				
6042	(BT)	botryoides	0	0				
