Ensaio	Data	Ordem	Rep	Bloco	Poligono	Linha	Pos/linha	Codigo	t	Alt (m)	Dap (cm)	Cod_Med
356	31-Jan-17	10	1912	1	1	1	12	1001	4.8	16.9	11.6	1
356	31-Jan-17	117	1913	1	1	3	4	1001	4.8	18.4	13.3	1
356	31-Jan-17	216	1914	1	1	4	43	1001	4.8	16.8	13.1	1
356	31-Jan-17	260	1915	1	1	5	27	1001	4.8	15.5	10.7	1
356	31-Jan-17	338	1916	1	1	6	46	1001	4.8	16.0	9.7	1
356	31-Jan-17	441	1917	1	1	8	35	1001	4.8	15.3	12.4	1
356	31-Jan-17	543	1918	1	1	10	28	1001	4.8	14.2	9.2	1
356	31-Jan-17	609	1919	1	1	11	40	1001	4.8	14.3	9.7	1
356	31-Jan-17	730	1920	1	1	14	3	1001	4.8			4
356	31-Jan-17	781	1921	1	1	15	6	1001	4.8	14.3	8.2	1
356	31-Jan-17	45	1912	1	1	1	47	1074	4.8	14.5	10.5	1
356	31-Jan-17	210	1914	1	1	4	37	1074	4.8	12.2	7.5	1
356	31-Jan-17	351	1916	1	1	7	3	1074	4.8	17.5	10.5	1
356	31-Jan-17	575	1918	1	1	11	6	1074	4.8	12.9	7.2	1
356	31-Jan-17	691	1920	1	1	13	16	1074	4.8	9.4	5.0	1
356	31-Jan-17	81	1912	1	1	2	26	1088	4.8	13.3	10.8	1
356	31-Jan-17	87	1913	1	1	2	32	1088	4.8	10.2	5.4	1
356	31-Jan-17	246	1914	1	1	5	13	1088	4.8	13.1	9.1	1
356	31-Jan-17	322	1915	1	1	6	30	1088	4.8	14.5	10.4	1
356	31-Jan-17	403	1916	1	1	7	55	1088	4.8	16.0	11.0	1
356	31-Jan-17	485	1917	1	1	9	22	1088	4.8	13.4	9.2	1
356	31-Jan-17	506	1918	1	1	9	43	1088	4.8	13.6	8.5	1
356	31-Jan-17	615	1919	1	1	11	46	1088	4.8	11.6	8.8	1
356	31-Jan-17	723	1920	1	1	13	48	1088	4.8			4
356	31-Jan-17	782	1921	1	1	15	7	1088	4.8	14.5	10.4	1
356	31-Jan-17	71	1912	1	1	2	16	1113	4.8	14.2	9.7	1
356	31-Jan-17	115	1913	1	1	2	60	1113	4.8	14.8	10.3	1
356	31-Jan-17	235	1914	1	1	4	62	1113	4.8	15.3	10.0	1
356	31-Jan-17	252	1915	1	1	5	19	1113	4.8	15.5	12.2	1
356	31-Jan-17	415	1916	1	1	8	9	1113	4.8	15.2	11.2	1
356	31-Jan-17	425	1917	1	1	8	19	1113	4.8	15.5	13.1	1
356	31-Jan-17	511	1918	1	1	9	48	1113	4.8	13.5	10.2	1
356	31-Jan-17	639	1919	1	1	12	14	1113	4.8	12.2	9.0	1
356	31-Jan-17	736	1920	1	1	14	9	1113	4.8	12.6	11.1	1
356	31-Jan-17	804	1921	1	1	15	29	1113	4.8	13.2	11.3	1
356	31-Jan-17	19	1912	1	1	1	21	1199	4.8	13.3	8.8	1
356	31-Jan-17	140	1913	1	1	3	27	1199	4.8	11.6	6.5	1
356	31-Jan-17	228	1914	1	1	4	55	1199	4.8	13.0	8.0	1
356	31-Jan-17	255	1915	1	1	5	22	1199	4.8	11.8	6.8	1
356	31-Jan-17	355	1916	1	1	7	7	1199	4.8	9.5	4.9	1
356	31-Jan-17	478	1917	1	1	9	15	1199	4.8	12.5	8.3	1
356	31-Jan-17	545	1918	1	1	10	30	1199	4.8	10.5	6.9	1
356	31-Jan-17	656	1919	1	1	12	31	1199	4.8			4
356	31-Jan-17	663	1920	1	1	12	38	1199	4.8	7.2	3.8	1
356	31-Jan-17	818	1921	1	1	15	43	1199	4.8			4
356	31-Jan-17	23	1912	1	1	1	25	1206	4.8	13.5	7.2	1
356	31-Jan-17	88	1913	1	1	2	33	1206	4.8	13.5	8.7	1
356	31-Jan-17	169	1914	1	1	3	56	1206	4.8	13.2	7.5	1
356	31-Jan-17	309	1915	1	1	6	17	1206	4.8	15.3	11.0	1
356	31-Jan-17	411	1916	1	1	8	5	1206	4.8	12.1	7.0	1
356	31-Jan-17	422	1917	1	1	8	16	1206	4.8	13.6	9.8	1
356	31-Jan-17	541	1918	1	1	10	26	1206	4.8	8.8	4.5	1
356	31-Jan-17	647	1919	1	1	12	22	1206	4.8	10.7	6.2	1
356	31-Jan-17	683	1920	1	1	13	8	1206	4.8	14.7	11.4	1
356	31-Jan-17	763	1921	1	1	14	36	1206	4.8	11.0	6.3	1
356	31-Jan-17	48	1912	1	1	1	50	1513	4.8	15.7	10.5	1
356	31-Jan-17	84	1913	1	1	2	29	1513	4.8	14.4	8.6	1
356	31-Jan-17	214	1914	1	1	4	41	1513	4.8	15.5	10.6	1
356	31-Jan-17	287	1915	1	1	5	54	1513	4.8	16.5	12.9	1
