Ensaio	Ensaio2	Amostra	Ordem	Codigo	id-Nira	Ren_nir	Campanha	Data-rec
353	353A	12620	1	82405	5.2	52.0	2017	1/17/2017 0:00:00
353	353A	12621	7	1206	5.2	50.7	2017	1/17/2017 0:00:00
353	353A	12622	23	102041031	5.2	53.6	2017	1/17/2017 0:00:00
353	353A	12624	42	102122163	5.2	48.4	2017	1/17/2017 0:00:00
353	353A	12625	74	100074002	5.2	55.0	2017	1/17/2017 0:00:00
353	353A	12626	83	77368	5.2	50.4	2017	1/17/2017 0:00:00
353	353A	12627	99	102041039	5.2	54.0	2017	1/17/2017 0:00:00
353	353A	12628	102	102051028	5.2	54.2	2017	1/17/2017 0:00:00
353	353A	12629	104	1206	5.2	48.6	2017	1/17/2017 0:00:00
353	353A	12633	118	1113	5.2	50.3	2017	1/17/2017 0:00:00
353	353A	12634	125	100830008	5.2	51.8	2017	1/17/2017 0:00:00
353	353A	12635	137	102041039	5.2	53.0	2017	1/17/2017 0:00:00
353	353A	12636	151	100109021	5.2	50.9	2017	1/17/2017 0:00:00
353	353A	12637	160	100834009	5.2	50.9	2017	1/17/2017 0:00:00
353	353A	12638	169	102122165	5.2	47.7	2017	1/17/2017 0:00:00
353	353A	12640	179	100785018	5.2	51.2	2017	1/17/2017 0:00:00
353	353A	12641	184	100840012	5.2	52.1	2017	1/17/2017 0:00:00
353	353A	12642	188	77191	5.2	50.1	2017	1/17/2017 0:00:00
353	353A	12643	198	100126020	5.2	51.0	2017	1/17/2017 0:00:00
353	353A	12644	200	100834009	5.2	51.4	2017	1/17/2017 0:00:00
353	353A	12645	237	102108064	5.2	53.6	2017	1/17/2017 0:00:00
353	353A	12646	264	100890020	5.2	51.7	2017	1/17/2017 0:00:00
369	369A	12577	71	101425003	3.6	51.9	2016	10/12/2016 0:00:00
369	369A	12578	79	1113	3.6	48.7	2016	10/12/2016 0:00:00
369	369A	12579	81	100785018	3.6	49.5	2016	10/12/2016 0:00:00
369	369A	12580	86	100881008	3.6	49.3	2016	10/12/2016 0:00:00
369	369A	12581	121	100211006	3.6	47.9	2016	10/12/2016 0:00:00
369	369A	12582	129	102062014	3.6	52.6	2016	10/12/2016 0:00:00
369	369A	12583	132	101462016	3.6	49.1	2016	10/12/2016 0:00:00
369	369A	12584	133	100961001	3.6	50.5	2016	10/12/2016 0:00:00
369	369A	12585	145	102051007	3.6	54.3	2016	10/12/2016 0:00:00
369	369A	12586	147	1214	3.6	52.7	2016	10/12/2016 0:00:00
369	369A	12587	148	100074002	3.6	55.3	2016	10/12/2016 0:00:00
369	369A	12589	149	100867013	3.6	52.0	2016	10/12/2016 0:00:00
369	369A	12590	162	100894035	3.6	51.8	2016	10/12/2016 0:00:00
369	369A	12591	168	101455009	3.6	48.4	2016	10/12/2016 0:00:00
369	369A	12592	172	100841194	3.6	50.7	2016	10/12/2016 0:00:00
369	369A	12593	195	100890050	3.6	52.2	2016	10/12/2016 0:00:00
369	369A	12594	198	100890020	3.6	53.7	2016	10/12/2016 0:00:00
369	369A	12595	200	101437007	3.6	49.8	2016	10/12/2016 0:00:00
369	369A	12596	202	100848025	3.6	49.0	2016	10/12/2016 0:00:00
369	369A	12597	205	101466006	3.6	53.1	2016	10/12/2016 0:00:00
369	369A	12598	206	102041039	3.6	51.2	2016	10/12/2016 0:00:00
369	369A	12599	209	100840012	3.6	51.0	2016	10/12/2016 0:00:00
369	369A	12600	217	100826002	3.6	51.2	2016	10/12/2016 0:00:00
369	369A	12601	232	77400	3.6	51.7	2016	10/12/2016 0:00:00
369	369A	12602	233	77191	3.6	50.5	2016	10/12/2016 0:00:00
369	369A	12603	253	100761014	3.6	50.1	2016	10/12/2016 0:00:00
369	369A	12604	298	100763014	3.6	48.9	2016	10/12/2016 0:00:00
369	369A	12605	316	100971071	3.6	50.4	2016	10/12/2016 0:00:00
369	369A	12606	320	1233	3.6	48.3	2016	10/12/2016 0:00:00
369	369A	12607	325	102051028	3.6	51.4	2016	10/12/2016 0:00:00
369	369A	12608	326	102041041	3.6	50.8	2016	10/12/2016 0:00:00
369	369A	12609	338	100170003	3.6	51.9	2016	10/12/2016 0:00:00
369	369A	12610	348	77191	3.6	50.1	2016	10/12/2016 0:00:00
369	369A	12611	379	100901050	3.6	50.2	2016	10/12/2016 0:00:00
369	369A	12617	572	102041039	3.6	51.8	2016	10/12/2016 0:00:00
