Ensaio	Ensaio2	Ordem	Codigo	id-Pil	Pil	Campanha	Data-rec
353	353A	1	82405	6.6	10	2018	6/14/2018 0:00:00
353	353A	4	102115061	6.6	12	2018	6/15/2018 0:00:00
353	353A	5	85005	6.6	11	2018	6/16/2018 0:00:00
353	353A	6	102106061	6.6	12	2018	6/17/2018 0:00:00
353	353A	7	1206	6.6	9.5	2018	6/18/2018 0:00:00
353	353A	9	100826049	6.6	9	2018	6/19/2018 0:00:00
353	353A	11	102120061	6.6	11.5	2018	6/20/2018 0:00:00
353	353A	12	7038	6.6	10	2018	6/21/2018 0:00:00
353	353A	13	77408	6.6	12	2018	6/22/2018 0:00:00
353	353A	14	102041039	6.6	9.5	2018	6/23/2018 0:00:00
353	353A	15	82241	6.6	11	2018	6/24/2018 0:00:00
353	353A	16	100834009	6.6	11	2018	6/25/2018 0:00:00
353	353A	17	100109021	6.6	12	2018	6/26/2018 0:00:00
353	353A	18	77191	6.6	13.5	2018	6/27/2018 0:00:00
353	353A	19	102142061	6.6	10	2018	6/28/2018 0:00:00
353	353A	20	77422	6.6	8	2018	6/29/2018 0:00:00
353	353A	21	82243	6.6	11	2018	6/30/2018 0:00:00
353	353A	22	77010	6.6	9	2018	7/1/2018 0:00:00
353	353A	23	102041031	6.6	9	2018	7/2/2018 0:00:00
353	353A	24	100850028	6.6	12	2018	7/3/2018 0:00:00
353	353A	26	102064011	6.6	8	2018	7/4/2018 0:00:00
353	353A	27	77052	6.6	11	2018	7/5/2018 0:00:00
353	353A	29	100830008	6.6	11	2018	7/6/2018 0:00:00
353	353A	30	102108061	6.6	10.5	2018	7/7/2018 0:00:00
353	353A	32	82465	6.6	10	2018	7/8/2018 0:00:00
353	353A	33	102110062	6.6	12	2018	7/9/2018 0:00:00
353	353A	34	1088	6.6	10	2018	7/10/2018 0:00:00
353	353A	35	100966061	6.6	11.5	2018	7/11/2018 0:00:00
353	353A	36	77368	6.6	12	2018	7/12/2018 0:00:00
353	353A	37	83507	6.6	11.5	2018	7/13/2018 0:00:00
353	353A	38	85002	6.6	13	2018	7/14/2018 0:00:00
353	353A	39	82204	6.6	11.5	2018	7/15/2018 0:00:00
353	353A	40	100074002	6.6	11.5	2018	7/16/2018 0:00:00
353	353A	41	77013	6.6	12	2018	7/17/2018 0:00:00
353	353A	42	102122163	6.6	12.5	2018	7/18/2018 0:00:00
353	353A	43	77352	6.6	10	2018	7/19/2018 0:00:00
353	353A	44	77455	6.6	15	2018	7/20/2018 0:00:00
353	353A	45	102145060	6.6	11.5	2018	7/21/2018 0:00:00
353	353A	46	1113	6.6	14	2018	7/22/2018 0:00:00
353	353A	47	100890020	6.6	11	2018	7/23/2018 0:00:00
353	353A	48	77000	6.6	11.5	2018	7/24/2018 0:00:00
353	353A	52	100785018	6.6	10	2018	7/25/2018 0:00:00
353	353A	53	102109157	6.6	11	2018	7/26/2018 0:00:00
353	353A	54	100840012	6.6	11.5	2018	7/27/2018 0:00:00
353	353A	55	102051028	6.6	9.5	2018	7/28/2018 0:00:00
353	353A	56	100942016	6.6	9.5	2018	7/29/2018 0:00:00
353	353A	57	100169022	6.6	7.5	2018	7/30/2018 0:00:00
353	353A	58	102146062	6.6	11	2018	7/31/2018 0:00:00
353	353A	117	77052	6.6	10.5	2018	8/1/2018 0:00:00
353	353A	118	1113	6.6	12.5	2018	8/2/2018 0:00:00
353	353A	120	77013	6.6	11	2018	8/3/2018 0:00:00
353	353A	121	77010	6.6	9.5	2018	8/4/2018 0:00:00
353	353A	122	100840012	6.6	12	2018	8/5/2018 0:00:00
353	353A	123	85005	6.6	11.5	2018	8/6/2018 0:00:00
353	353A	124	100850028	6.6	12.5	2018	8/7/2018 0:00:00
353	353A	125	100830008	6.6	10	2018	8/8/2018 0:00:00
353	353A	126	83507	6.6	12	2018	8/9/2018 0:00:00
353	353A	127	85002	6.6	13.5	2018	8/10/2018 0:00:00
353	353A	129	77000	6.6	11	2018	8/11/2018 0:00:00
353	353A	130	82243	6.6	11	2018	8/12/2018 0:00:00
353	353A	133	102051028	6.6	9.5	2018	8/13/2018 0:00:00
353	353A	134	77191	6.6	13	2018	8/14/2018 0:00:00
353	353A	136	77451	6.6	10.5	2018	8/15/2018 0:00:00
353	353A	137	102041039	6.6	9	2018	8/16/2018 0:00:00
353	353A	138	77368	6.6	12	2018	8/17/2018 0:00:00
353	353A	139	77408	6.6	12	2018	8/18/2018 0:00:00
353	353A	141	82465	6.6	10	2018	8/19/2018 0:00:00
353	353A	142	82204	6.6	12.5	2018	8/20/2018 0:00:00
353	353A	143	77422	6.6	9	2018	8/21/2018 0:00:00
353	353A	145	100074002	6.6	12	2018	8/22/2018 0:00:00
353	353A	146	102115063	6.6	9.5	2018	8/23/2018 0:00:00
353	353A	147	100826049	6.6	8.5	2018	8/24/2018 0:00:00
353	353A	148	102041031	6.6	10.5	2018	8/25/2018 0:00:00
